"question","answer","template"
"Find the last email on October 13 and send an email to the sender with the subject 'Monthly Sales Figures' and body 'Please find the monthly sales figures in the attached document.'","email.send_email({'recipient': 'Akira.Sato@company.com', 'subject': 'Monthly Sales Figures', 'body': 'Please find the monthly sales figures in the attached document.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on December 19 and send an email to the sender with the subject 'Training Session Confirmation' and body 'Your registration for the upcoming training session is confirmed.'","email.send_email({'recipient': 'Fatima.Khan@company.com', 'subject': 'Training Session Confirmation', 'body': 'Your registration for the upcoming training session is confirmed.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on November 29 and send an email to the sender with the subject 'IT System Upgrade Schedule' and body 'Please review the schedule for the upcoming IT system upgrade.'","email.send_email({'recipient': 'Anaya.Patel@company.com', 'subject': 'IT System Upgrade Schedule', 'body': 'Please review the schedule for the upcoming IT system upgrade.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on November 19 and send an email to the sender with the subject 'Meeting Rescheduled' and body 'Please note the change in the meeting date and time.'","email.send_email({'recipient': 'Dmitri.Ivanov@company.com', 'subject': 'Meeting Rescheduled', 'body': 'Please note the change in the meeting date and time.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on November 8 and send an email to the sender with the subject 'Invoice Attached' and body 'Attached is the invoice for the recent transaction.'","email.send_email({'recipient': 'Fatima.Khan@company.com', 'subject': 'Invoice Attached', 'body': 'Attached is the invoice for the recent transaction.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on December 15 and send an email to the sender with the subject 'Training Session Confirmation' and body 'Your registration for the upcoming training session is confirmed.'","email.send_email({'recipient': 'Fatima.Khan@company.com', 'subject': 'Training Session Confirmation', 'body': 'Your registration for the upcoming training session is confirmed.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on October 6 and send an email to the sender with the subject 'Budget Approval Request' and body 'Please review and approve the attached budget proposal.'","email.send_email({'recipient': 'Aisha.Chen@company.com', 'subject': 'Budget Approval Request', 'body': 'Please review and approve the attached budget proposal.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on October 11 and forward it to Olga.Petrova@company.com","email.forward_email({'email_id': '00000333', 'recipient': 'Olga.Petrova@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
"Find the last email on November 19 and forward it to Lena.Schmidt@company.com","email.forward_email({'email_id': '00000193', 'recipient': 'Lena.Schmidt@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
"Find the last email on December 23 and forward it to Leila.Azizi@company.com","email.forward_email({'email_id': '00000112', 'recipient': 'Leila.Azizi@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
"Find the last email on November 18 and forward it to Leila.Azizi@company.com","email.forward_email({'email_id': '00000443', 'recipient': 'Leila.Azizi@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
"Find the last email on December 27 and forward it to Lena.Schmidt@company.com","email.forward_email({'email_id': '00000072', 'recipient': 'Lena.Schmidt@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
"Find the last email on December 19 and forward it to Dmitri.Ivanov@company.com","email.forward_email({'email_id': '00000324', 'recipient': 'Dmitri.Ivanov@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
"Find the last email on November 2 and forward it to Dmitri.Ivanov@company.com","email.forward_email({'email_id': '00000021', 'recipient': 'Dmitri.Ivanov@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
"Find the last email on October 29 and forward it to Carlos.Rodriguez@company.com","email.forward_email({'email_id': '00000223', 'recipient': 'Carlos.Rodriguez@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
"Find the last email on October 30 and forward it to Raj.Patel@company.com","email.forward_email({'email_id': '00000229', 'recipient': 'Raj.Patel@company.com'})","{'question': 'Find the last email on {natural_language_date} and forward it to {recipient}', 'answer': ""email.forward_email({{'email_id': '{last_email_id}', 'recipient': '{recipient}'}})""}"
